,Mean,Variance,Up,Class
0,10000.0,0.0,0.78821,droneA
1,10000.0,0.0,0.60776,droneA
2,10000.0,0.0,0.70403,droneA
3,10000.0,0.0,0.7,droneA
4,10000.0,0.0,0.79931,droneA
5,10000.0,0.0,0.59111,droneA
6,10000.0,0.0,0.80197,droneA
7,10000.0,0.0,0.70761,droneA
8,10000.0,0.0,0.48669,droneA
9,10000.0,0.0,0.70643,droneA
10,10000.0,0.0,0.40688,droneA
11,10000.0,0.0,0.59593,droneA
12,10000.0,0.0,0.79495,droneA
13,10000.0,0.0,0.60912,droneA
14,10000.0,0.0,0.59343,droneA
15,10000.0,0.0,0.70411,droneA
16,10000.0,0.0,0.70237,droneA
17,10000.0,0.0,0.69797,droneA
18,10000.0,0.0,0.78752,droneA
19,10000.0,0.0,0.7953,droneA
20,10000.0,0.0,0.80082,droneA
21,10000.0,0.0,0.8016,droneA
22,10000.0,0.0,0.79489,droneA
23,10000.0,0.0,0.71481,droneA
24,10000.0,0.0,0.68945,droneA
25,10000.0,0.0,0.69452,droneA
26,10000.0,0.0,0.79142,droneA
27,10000.0,0.0,0.69948,droneA
28,10000.0,0.0,0.81045,droneA
29,10000.0,0.0,0.79597,droneA
30,10000.0,0.0,0.50093,droneA
31,10000.0,0.0,0.807,droneA
32,10000.0,0.0,0.79624,droneA
33,10000.0,0.0,0.80791,droneA
34,10000.0,0.0,0.71381,droneA
35,10000.0,0.0,0.76648,droneA
36,10000.0,0.0,0.53352,droneA
37,10000.0,0.0,0.7722,droneA
38,10000.0,0.0,0.69266,droneA
39,10000.0,0.0,0.70018,droneA
40,10000.0,0.0,0.79548,droneA
41,10000.0,0.0,0.73948,droneA
42,10000.0,0.0,0.46691,droneA
43,10000.0,0.0,0.70775,droneA
44,10000.0,0.0,0.80133,droneA
45,10000.0,0.0,0.72401,droneA
46,10000.0,0.0,0.77528,droneA
47,10000.0,0.0,0.59951,droneA
48,10000.0,0.0,0.80037,droneA
49,10000.0,0.0,0.70013,droneA
50,3941.176470588235,3349480.9688581317,0.67,droneB
51,4000.0,4111111.111111111,0.74895,droneB
52,3666.6666666666665,4888888.888888889,0.68684,droneB
53,3888.8888888888887,4098765.4320987654,0.73145,droneB
54,3352.9411764705883,3875432.525951557,0.59276,droneB
55,3600.0,3640000.0,0.72,droneB
56,3736.842105263158,4299168.975069252,0.76173,droneB
57,3100.0,3390000.0,0.63827,droneB
58,3888.8888888888887,3209876.5432098764,0.70599,droneB
59,3352.9411764705883,3404844.2906574393,0.63292,droneB
60,3571.4285714285716,3482993.1972789117,0.76109,droneB
61,3777.777777777778,4506172.839506173,0.6979,droneB
62,3500.0,4350000.0,0.75058,droneB
63,3800.0,4160000.0,0.79152,droneB
64,3444.4444444444443,4246913.580246913,0.62,droneB
65,3941.176470588235,3820069.2041522493,0.6931,droneB
66,3777.777777777778,4506172.839506173,0.6869,droneB
67,3631.5789473684213,3811634.3490304705,0.69,droneB
68,3571.4285714285716,4244897.959183673,0.75355,droneB
69,3375.0,4609375.0,0.56645,droneB
70,3666.6666666666665,4444444.444444444,0.67671,droneB
71,3526.315789473684,3722991.6897506923,0.70329,droneB
72,3823.529411764706,4262975.778546713,0.68647,droneB
73,4066.6666666666665,3662222.222222222,0.66493,droneB
74,3666.6666666666665,3555555.555555555,0.80372,droneB
75,3421.0526315789475,3191135.7340720226,0.78446,droneB
76,3444.4444444444443,3358024.6913580247,0.66782,droneB
77,3333.3333333333335,4111111.111111111,0.63855,droneB
78,3666.6666666666665,4000000.0,0.67735,droneB
79,3111.1111111111113,3320987.654320988,0.6067,droneB
80,3777.777777777778,4506172.839506173,0.7045,droneB
81,3555.5555555555557,3469135.802469136,0.7036,droneB
82,3941.176470588235,3349480.9688581317,0.68368,droneB
83,4000.0,4111111.111111111,0.76439,droneB
84,3888.8888888888887,4098765.4320987654,0.74109,droneB
